"Zeit","X1_Auspraegung_Code","X1_Auspraegung_Label","Month","X2_Merkmal_Label","X2_Auspraegung_Code","X2_Auspraegung_Label","X3_Merkmal_Code","X3_Merkmal_Label","X3_Auspraegung_Code","X4_Merkmal_Code","X4_Merkmal_Label","X4_Auspraegung_Code","X4_Auspraegung_Label","X5_Merkmal_Code","X5_Merkmal_Label","X5_Auspraegung_Code","X5_Auspraegung_Label","Value","Date"
2019,"DG","Deutschland","MONAT","Monate",1,"Januar","WZ08N7","Wirtschaftszweige (WZ 2008)","WZ08-H-04","WERTE4","Preisarten","NOMINAL","in jeweiligen Preisen","WERT01","Original- und bereinigte Daten","X13JDKSB","X13 JDemetra+  kalender- und saisonbereinigt",113.9,Jan 2019
2019,"DG","Deutschland","MONAT","Monate",2,"Februar","WZ08N7","Wirtschaftszweige (WZ 2008)","WZ08-H-04","WERTE4","Preisarten","NOMINAL","in jeweiligen Preisen","WERT01","Original- und bereinigte Daten","X13JDKSB","X13 JDemetra+  kalender- und saisonbereinigt",112.9,Feb 2019
2019,"DG","Deutschland","MONAT","Monate",3,"März","WZ08N7","Wirtschaftszweige (WZ 2008)","WZ08-H-04","WERTE4","Preisarten","NOMINAL","in jeweiligen Preisen","WERT01","Original- und bereinigte Daten","X13JDKSB","X13 JDemetra+  kalender- und saisonbereinigt",113.3,Mar 2019
2019,"DG","Deutschland","MONAT","Monate",4,"April","WZ08N7","Wirtschaftszweige (WZ 2008)","WZ08-H-04","WERTE4","Preisarten","NOMINAL","in jeweiligen Preisen","WERT01","Original- und bereinigte Daten","X13JDKSB","X13 JDemetra+  kalender- und saisonbereinigt",113.4,Apr 2019
2019,"DG","Deutschland","MONAT","Monate",5,"Mai","WZ08N7","Wirtschaftszweige (WZ 2008)","WZ08-H-04","WERTE4","Preisarten","NOMINAL","in jeweiligen Preisen","WERT01","Original- und bereinigte Daten","X13JDKSB","X13 JDemetra+  kalender- und saisonbereinigt",113.4,May 2019
2019,"DG","Deutschland","MONAT","Monate",6,"Juni","WZ08N7","Wirtschaftszweige (WZ 2008)","WZ08-H-04","WERTE4","Preisarten","NOMINAL","in jeweiligen Preisen","WERT01","Original- und bereinigte Daten","X13JDKSB","X13 JDemetra+  kalender- und saisonbereinigt",116.1,Jun 2019
2019,"DG","Deutschland","MONAT","Monate",7,"Juli","WZ08N7","Wirtschaftszweige (WZ 2008)","WZ08-H-04","WERTE4","Preisarten","NOMINAL","in jeweiligen Preisen","WERT01","Original- und bereinigte Daten","X13JDKSB","X13 JDemetra+  kalender- und saisonbereinigt",114.4,Jul 2019
2019,"DG","Deutschland","MONAT","Monate",8,"August","WZ08N7","Wirtschaftszweige (WZ 2008)","WZ08-H-04","WERTE4","Preisarten","NOMINAL","in jeweiligen Preisen","WERT01","Original- und bereinigte Daten","X13JDKSB","X13 JDemetra+  kalender- und saisonbereinigt",115.4,Aug 2019
2019,"DG","Deutschland","MONAT","Monate",9,"September","WZ08N7","Wirtschaftszweige (WZ 2008)","WZ08-H-04","WERTE4","Preisarten","NOMINAL","in jeweiligen Preisen","WERT01","Original- und bereinigte Daten","X13JDKSB","X13 JDemetra+  kalender- und saisonbereinigt",114.9,Sep 2019
2019,"DG","Deutschland","MONAT","Monate",10,"Oktober","WZ08N7","Wirtschaftszweige (WZ 2008)","WZ08-H-04","WERTE4","Preisarten","NOMINAL","in jeweiligen Preisen","WERT01","Original- und bereinigte Daten","X13JDKSB","X13 JDemetra+  kalender- und saisonbereinigt",115.5,Oct 2019
