Monat;Year;Originalwert;Kalender- und saisonbereinigt nach X13 JDemetra+
1;2019;100.8;104.4
2;2019;96;102.1
3;2019;104.3;101.6
4;2019;102.6;105
5;2019;102.7;100.5
6;2019;95.5;101.2
7;2019;106;102.2
8;2019;100.1;100.5
9;2019;103.6;100.5
10;2019;109;104.1
11;2019;104;102.3
12;2019;95.6;100.7
1;2020;99.5;104.4
2;2020;97.2;104.4
3;2020;109.4;102.3
4;2020;91.9;94.1
5;2020;89.8;93
6;2020;96.6;96.4
7;2020;101.1;97.4
8;2020;93.9;96.4
9;2020;104.9;98.7
10;2020;103.8;98.4
11;2020;100.1;96.5
12;2020;98.8;100.5
1;2021;86.7;96.3
2;2021;90.9;96.7
3;2021;110.8;100.5
4;2021;92.8;94.9
5;2021;96.2;99.7
6;2021;104.1;100.9
7;2021;101.3;100.4
8;2021;100.6;100.3
9;2021;107.6;101.3
10;2021;102.5;100
11;2021;105.4;101
12;2021;101;101
1;2022;93.4;100.8
2;2022;97.2;103.4
3;2022;113.2;102.5
4;2022;97.2;102.1
5;2022;101.1;99.2
6;2022;103.2;102.9
